,transaction_id,customer_id,total_price
0,581482,17490,257.64
1,581475,13069,383.4
2,581475,13069,138.36
3,581475,13069,127.8
4,581475,13069,71.64
5,581475,13069,255.6
6,581475,13069,207.54
7,581475,13069,147.0
8,581475,13069,127.8
9,581475,13069,253.2
10,581475,13069,221.2
11,581475,13069,147.0
12,581475,13069,221.2
13,581475,13069,147.0
14,581475,13069,138.36
15,581475,13069,138.36
16,581475,13069,265.44
17,581475,13069,132.72
18,581475,13069,265.44
19,581475,13069,506.4
20,581476,12433,553.44
21,581476,12433,281.76
22,581476,12433,122.56
23,581476,12433,138.36
24,581476,12433,1052.16
25,581476,12433,543.36
26,581476,12433,563.52
27,581476,12433,512.64
28,581476,12433,256.32
29,581476,12433,256.32
30,581476,12433,768.96
31,581476,12433,512.64
32,581476,12433,122.56
33,581476,12433,56.36
34,581476,12433,112.72
35,581476,12433,112.72
36,581476,12433,56.36
37,581476,12433,233.76
38,581476,12433,2177.28
39,581476,12433,276.72
40,581476,12433,308.64
41,581476,12433,308.64
42,581476,12433,147.0
43,581476,12433,245.12
44,581476,12433,77.16
45,581476,12433,1099.0
46,581476,12433,116.88
47,581476,12433,137.88
48,581476,12433,446.4
49,581476,12433,422.64
50,581476,12433,138.36
51,581476,12433,422.64
52,581476,12433,91.92
53,581476,12433,169.08
54,581476,12433,58.44
55,581476,12433,140.88
56,581476,12433,350.64
57,581476,12433,583.2
58,581476,12433,594.24
59,581476,12433,563.52
60,581476,12433,255.6
61,581476,12433,255.6
62,581476,12433,255.6
63,581476,12433,115.3
64,581476,12433,444.8
65,581476,12433,640.8
66,581476,12433,2488.8
67,581476,12433,583.2
68,581476,12433,341.76
69,581476,12433,170.88
70,581476,12433,230.6
71,581476,12433,583.2
72,581476,12433,518.88
73,581476,12433,1503.36
74,581476,12433,115.3
75,581476,12433,398.16
76,581476,12433,367.5
77,581476,12433,37.2
78,581476,12433,37.2
79,581476,12433,37.2
80,581476,12433,207.54
81,581476,12433,355.2
82,581476,12433,183.84
83,581476,12433,87.0
84,581477,13426,175.1
85,581477,13426,132.72
86,581477,13426,133.44
87,581477,13426,133.44
88,581477,13426,122.56
89,581477,13426,583.2
90,581477,13426,138.36
91,581477,13426,79.62
92,581477,13426,143.28
93,581477,13426,133.44
94,581478,17364,276.72
95,581478,17364,138.36
96,581478,17364,222.0
97,581478,17364,183.84
98,581478,17364,58.0
99,581478,17364,58.0
100,581478,17364,506.4
101,581478,17364,56.36
102,581478,17364,61.28
103,581478,17364,61.28
104,581478,17364,74.4
105,581478,17364,124.0
106,581478,17364,138.36
107,581478,17364,138.36
108,581478,17364,131.04
109,581478,17364,137.36
110,581478,17364,84.54
111,581478,17364,266.88
112,581479,17364,132.7
113,581480,14441,61.28
114,581480,14441,123.8
115,581480,14441,116.88
